crisis,crisis_id,country,iso3,drivers,regions,inform_severity_index,inform_severity_category,trend_last_3_months,reliability,impact_of_the_crisis,geographical,human,conditions_of_people_affected,people_in_need,concentration_of_conditions,complexity_of_the_crisis,society_and_safety,operating_environment
Lake Chad basin crisis in Nigeria,NGA004,Nigeria,NGA,"Conflict/ Violence,International Displacement",Africa,4.2,5,Stable,Very High,4.1,2.2,4.7,4.4,4.8,4,3.8,3.5,4.0
Northwest Banditry,NGA007,Nigeria,NGA,International Displacement,Africa,3.5,4,Stable,High,3.4,2.8,3.7,3.9,4.8,3,3.0,3.5,2.5
Cameroonian Refugees in Nigeria,NGA008,Nigeria,NGA,International Displacement,Africa,2.1,3,Increasing,High,2.4,2.0,2.6,1.35,1.7,1,3.0,3.5,2.5
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,0,Americas,x,x,-,High,2.5,4.0,1.4,x,x,x,2.0,2.8,1.0
Complex crisis in Pakistan,PAK001,Pakistan,PAK,"International Displacement,Conflict/ Violence",Asia,4,4,Stable,Very High,4.0,5.0,3.3,4,5,3,4.1,3.5,4.5
Kashmir conflict in Pakistan,PAK004,Pakistan,PAK,Conflict/ Violence,Asia,x,x,-,Low,0.4,1.0,0.0,x,x,x,3.0,3.5,2.5
Venezuela displacement in Panama,PAN002,Panama,PAN,International Displacement,Americas,2.6,3,Increasing,High,3.4,3.8,3.2,2.85,2.7,3,1.7,1.4,2.0
Venezuela displacement in Peru,PER002,Peru,PER,International Displacement,Americas,3.3,4,Increasing,High,3.9,4.0,3.8,3.45,3.9,3,2.6,2.7,2.5
Mindanao conflict,PHL003,Philippines,PHL,Conflict/ Violence,Asia,2,2,Stable,Very High,2.6,2.7,2.6,1.3,1.6,1,2.6,2.6,2.5
Highlands Violence,PNG003,Papua New Guinea,PNG,0,Pacific,2,2,Stable,High,2.1,2.0,2.2,1.35,0.7,2,3.0,2.5,3.5
Displacement from Russia-Ukraine conflict in Poland,POL002,Poland,POL,International Displacement,Europe,2.2,3,Stable,Very High,3.4,4.8,2.3,2.15,3.3,1,1.2,0.8,1.5
Complex crisis in DPRK,PRK001,DPRK,PRK,Floods,Asia,3.9,4,Decreasing,High,3.9,4.6,3.5,4.5,5,4,2.9,2.7,3.0
Conflict in West Bank,PSE003,Palestine,PSE,Conflict/ Violence,Middle east,3.5,4,Increasing,High,3.8,2.7,4.2,3.25,3.5,3,3.7,2.5,4.5
Conflict in Gaza,PSE004,Palestine,PSE,Conflict/ Violence,Middle east,4.2,5,Stable,High,3.7,0.8,4.5,4.45,3.9,5,4.1,2.5,5.0
Displacement from Russia-Ukraine conflict in Romania,ROU002,Romania,ROU,International Displacement,Europe,1.9,2,Stable,Very High,3.0,4.6,1.7,1.55,2.1,1,1.3,1.0,1.5
Displacement from Russia-Ukraine conflict in Russia,RUS002,Russia,RUS,"Conflict/ Violence,International Displacement",Europe,2.7,3,Stable,High,3.6,5.0,2.3,2.25,3.5,1,2.5,2.5,2.5
Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,International Displacement,Africa,2.4,3,Stable,Medium,2.5,2.2,2.7,2.45,1.9,3,2.3,3.0,1.5
Complex crisis in Sudan,SDN001,Sudan,SDN,"International Displacement,Floods,Conflict/ Violence",Africa,4.7,5,Decreasing,Very High,5.0,5.0,5.0,4.5,5,4,4.6,4.2,5.0
Refugees in Sudan,SDN005,Sudan,SDN,"International Displacement,Conflict/ Violence",Africa,3.2,4,Stable,Very High,3.9,5.0,3.0,2.6,3.2,2,3.5,4.2,2.5
Food security crisis in Senegal,SEN002,Senegal,SEN,0,Africa,2.6,3,Increasing,High,2.7,4.5,1.3,2.65,3.3,2,2.5,2.0,3.0
Complex crisis in El Salvador,SLV001,El Salvador,SLV,"International Displacement,Floods,Drought/drier conditions",Americas,3,3,Decreasing,Very High,3.3,3.7,3.1,3.1,3.2,3,2.6,2.1,3.0
Complex crisis in Somalia,SOM001,Somalia,SOM,"Conflict/ Violence,International Displacement,Floods,Drought/drier conditions",Africa,4.4,5,Decreasing,Very High,4.5,4.8,4.3,4.3,4.6,4,4.5,3.8,5.0
Mixed Migration Flows in Somalia,SOM002,Somalia,SOM,International Displacement,Africa,2,2,Stable,Very High,2.0,1.5,2.3,1.05,1.1,1,3.4,3.8,3.0
Complex crisis in South Sudan,SSD001,South Sudan,SSD,"Conflict/ Violence,Floods,International Displacement",Africa,4.5,5,Increasing,High,4.6,4.6,4.6,4.45,4.9,4,4.5,3.8,5.0
Displacement from Russia-Ukraine conflict in Slovakia,SVK002,Slovakia,SVK,International Displacement,Europe,1.7,2,Stable,Very High,2.5,3.8,1.6,1.45,1.9,1,1.3,1.0,1.5
Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Drought/drier conditions,Africa,2.3,3,Stable,High,2.2,3.1,1.6,2.75,2.5,3,1.7,2.3,1.0
Socioeconomic and Conflict Crisis in Syria,SYR003,Syria,SYR,"Conflict/ Violence,International Displacement",Middle east,4.6,5,Stable,Very High,4.9,4.6,5.0,4.5,5,4,4.4,4.2,4.5
Complex crisis in Chad,TCD001,Chad,TCD,"Conflict/ Violence,International Displacement,Floods",Africa,4,4,Increasing,Very High,4.5,4.9,4.2,3.8,4.6,3,3.7,3.8,3.5
Lake Chad basin crisis,TCD003,Chad,TCD,Conflict/ Violence,Africa,3.4,4,Stable,Very High,3.1,0.6,3.9,3.5,3,4,3.4,3.8,3.0
CAR refugees in Chad,TCD004,Chad,TCD,International Displacement,Africa,2.2,3,Decreasing,High,2.5,1.8,2.8,1.45,1.9,1,3.2,3.8,2.5
Darfur refugees in Chad,TCD005,Chad,TCD,International Displacement,Africa,3.3,4,Stable,Very High,3.3,1.8,3.8,3.25,3.5,3,3.4,3.8,3.0
Conflict in Savanes region,TGO002,Togo,TGO,"Conflict/ Violence,International Displacement",Africa,2.4,3,Stable,Very High,2.3,1.0,2.8,2.55,2.1,3,2.3,2.6,2.0
Myanmar refugees in Thailand,THA003,Thailand,THA,Conflict/ Violence,Asia,2.2,3,Decreasing,Very High,1.6,0.5,2.1,2.4,1.8,3,2.4,2.2,2.5
Food Security Crisis in Timor-Leste,TLS003,Timor Leste,TLS,0,Asia,2,2,Stable,Very High,2.1,3.1,1.5,2.8,2.6,3,0.7,0.9,0.5
Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,International Displacement,Americas,1.5,2,Decreasing,High,2.5,3.0,2.2,0.8,0.6,1,1.5,1.4,1.5
Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,International Displacement,Africa,1.8,2,Decreasing,Very High,2.4,1.6,2.7,0.95,0.9,1,2.5,2.5,2.5
Syrian Refugees in Türkiye,TUR002,Türkiye,TUR,International Displacement,Middle east,2.9,3,Decreasing,Very High,3.1,3.2,3.0,2.95,3.9,2,2.7,2.8,2.5
Mixed Migration Flows in Türkiye,TUR003,Türkiye,TUR,International Displacement,Middle east,2.1,3,Decreasing,High,2.4,2.4,2.4,1.6,2.2,1,2.7,2.8,2.5
Türkiye / Syria earthquake in Türkiye,TUR005,Türkiye,TUR,Earthquake,Middle east,3.2,4,Increasing,High,2.6,2.2,2.8,3.85,4.7,3,2.4,2.8,2.0
International Displacement in Tanzania,TZA002,Tanzania,TZA,International Displacement,Africa,2,2,Decreasing,High,2.7,2.4,2.9,1.65,2.3,1,2.0,2.0,2.0
Food Security Crisis in North-East Tanzania,TZA003,Tanzania,TZA,Drought/drier conditions,Africa,2.5,3,Increasing,Medium,2.1,1.8,2.3,2.9,2.8,3,2.0,2.0,2.0
International Displacement in Uganda,UGA005,Uganda,UGA,International Displacement,Africa,3.3,4,Stable,High,3.3,1.7,3.9,3.4,3.8,3,3.2,3.7,2.5
Russia-Ukraine conflict,UKR002,Ukraine,UKR,"Conflict/ Violence,International Displacement",Europe,4.3,5,Decreasing,Very High,4.4,4.9,4.0,4.5,5,4,4.0,2.3,5.0
Complex crisis in Venezuela,VEN001,Venezuela,VEN,Floods,Americas,4,4,Stable,Very High,4.4,4.9,4.0,3.9,4.8,3,3.7,3.3,4.0
Conflict in Yemen,YEM001,Yemen,YEM,"Conflict/ Violence,International Displacement",Middle east,4.5,5,Decreasing,Very High,4.7,4.9,4.6,4.5,5,4,4.5,3.9,5.0
Mixed migration flows in Yemen,YEM002,Yemen,YEM,International Displacement,Middle east,2.4,3,Decreasing,Very High,2.6,1.9,2.9,1.55,2.1,1,3.5,3.9,3.0
Drought in Zambia,ZMB002,Zambia,ZMB,Drought/drier conditions,Africa,3.2,4,Decreasing,High,3.8,4.6,3.2,3.8,4.6,3,1.9,1.7,2.0
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,Drought/drier conditions,Africa,3.8,4,Increasing,Very High,4.2,4.6,3.9,3.9,4.8,3,3.2,3.3,3.0
Mutliple crises in Bangladesh,BGD001,Bangladesh,BGD,"Conflict/ Violence,International Displacement,Floods",Asia,3.5,4,Decreasing,Very High,3.3,3.6,3.1,4,5,3,2.8,2.5,3.0
Country level Brazil,BRA001,Brazil,BRA,"International Displacement,Floods,Drought/drier conditions",Americas,2.7,3,Increasing,Very High,3.7,4.1,3.5,2.15,3.3,1,2.5,2.4,2.5
Multiple crises in Cameroon,CMR001,Cameroon,CMR,"Conflict/ Violence,International Displacement",Africa,3.9,4,Increasing,High,4.2,4.2,4.2,3.65,4.3,3,4.1,3.7,4.5
Multiple crises in Djibouti,DJI001,Djibouti,DJI,"International Displacement,Drought/drier conditions",Africa,2.8,3,Stable,High,2.8,3.2,2.6,2.75,2.5,3,2.8,2.5,3.0
Multiple crises in Algeria,DZA004,Algeria,DZA,International Displacement,Africa,2.8,3,Stable,High,4.0,5.0,3.3,1.85,2.7,1,3.0,2.9,3.0
Multiple crises in Ecuador,ECU001,Ecuador,ECU,International Displacement,Americas,3.4,4,-,Very High,3.5,4.3,2.9,3.6,4.2,3,3.0,2.5,3.5
Multiple crises in Iraq,IRQ001,Iraq,IRQ,"International Displacement,Conflict/ Violence",Middle east,2.9,3,Decreasing,Very High,4.0,4.7,3.5,1.9,1.8,2,3.3,3.1,3.5
Multiple crises in Kenya,KEN001,Kenya,KEN,"Drought/drier conditions,International Displacement,Floods",Africa,3.5,4,Stable,High,3.7,3.8,3.6,3.65,4.3,3,3.0,3.5,2.5
Multiple crises in Libya,LBY005,Libya,LBY,International Displacement,Africa,3.4,4,Stable,Very High,4.0,4.6,3.6,3.2,3.4,3,3.2,3.3,3.0
Multiple crises in Myanmar,MMR001,Myanmar,MMR,Conflict/ Violence,Asia,4.6,5,Stable,Very High,4.8,4.9,4.8,4.5,5,4,4.6,4.1,5.0
Multiple Crises in Mozambique,MOZ001,Mozambique,MOZ,"Conflict/ Violence,International Displacement,Cyclone,Drought/drier conditions",Africa,3.5,4,Stable,Very High,3.4,3.7,3.3,3.65,4.3,3,3.4,3.2,3.5
Conflict in Palestine,PSE002,Palestine,PSE,Conflict/ Violence,Middle east,4.4,5,Stable,High,4.4,3.4,4.7,4.6,4.2,5,4.1,2.5,5.0
Multiple Crises in Turkey,TUR001,Türkiye,TUR,"International Displacement,Conflict/ Violence",Middle east,3.6,4,Increasing,High,3.5,3.7,3.4,3.95,4.9,3,3.2,2.8,3.5
Multiple Crises in Tanzania,TZA001,Tanzania,TZA,"International Displacement,Drought/drier conditions",Africa,2.5,3,Stable,High,2.9,3.0,2.8,2.55,3.1,2,2.0,2.0,2.0
