crisis,crisis_id,country,iso3,drivers,regions,inform_severity_index,inform_severity_category,trend_last_3_months,reliability,impact_of_the_crisis,geographical,human,conditions_of_people_affected,people_in_need,concentration_of_conditions,complexity_of_the_crisis,society_and_safety,operating_environment
International displacement from Cameroon to Nigeria,NGA008,Nigeria,NGA,International Displacement,Africa,2.2,3,Increasing,High,2.5,2,2.7,1.4,1.8,1,3.2,3.7,2.5
Conflict in Azad Jammu & Kashmir,PAK004,Pakistan,PAK,Conflict/ Violence,Asia,x,x,-,High,1.4,1,1.6,x,x,x,2.8,3.1,2.5
Floods and political and economic crisis ,PAK006,Pakistan,PAK,"Floods,Political/economic crisis",Asia,3.8,4,-,High,3.5,3.4,3.6,4,5,3,3.6,3.1,4.0
Displacement from Afghanistan to Pakistan,PAK007,Pakistan,PAK,International Displacement,Asia,3.6,4,-,High,3.7,3.4,3.9,3.7,4.4,3,3.3,3.1,3.5
Displacement from Venezuela to Panama,PAN002,Panama,PAN,International Displacement,Americas,2.5,3,Decreasing,Very High,2.9,3.8,2.3,2.85,2.7,3,1.8,1.6,2.0
Displacement from Venezuela to Peru,PER002,Peru,PER,International Displacement,Americas,3.3,4,Decreasing,High,3.8,3.9,3.8,3.55,4.1,3,2.4,2.7,2.0
Conflict in Mindanao,PHL003,Philippines,PHL,Conflict/ Violence,Asia,2.1,3,Increasing,Very High,2.6,2.7,2.6,1.35,1.7,1,2.8,2.5,3.0
2025 Southwest Monsoon Floods and Cyclones,PHL018,Philippines,PHL,"Floods,Cyclone",Asia,2.1,3,-,Very High,2.7,3.9,1.9,1.6,1.2,2,2.3,2.5,2.0
Conflict in Highlands,PNG003,Papua New Guinea,PNG,Conflict/ Violence,Pacific,1.8,2,Decreasing,High,1.7,2,1.5,1,0,2,3.0,2.3,3.5
Complex crisis in DPRK,PRK001,DPRK,PRK,"Drought/drier conditions,Political/economic crisis,Floods",Asia,3.7,4,Decreasing,High,4,4.6,3.7,4,5,3,3.1,3.2,3.0
Conflict in the West Bank,PSE003,Palestine,PSE,Conflict/ Violence,Middle east,3.6,4,Increasing,High,3.8,2.7,4.2,3.25,3.5,3,4.1,2.5,5.0
Conflict in Gaza,PSE004,Palestine,PSE,Conflict/ Violence,Middle east,4.2,5,Stable,High,3.8,0.8,4.6,4.45,3.9,5,4.1,2.5,5.0
Displacement from Ukraine to Russia,RUS002,Russia,RUS,International Displacement,Europe,x,x,Stable,High,x,x,0.0,x,x,x,2.3,2.5,2.0
International displacement to Rwanda,RWA002,Rwanda,RWA,International Displacement,Africa,2.5,3,Increasing,Medium,2.6,2.2,2.8,2.45,1.9,3,2.5,2.9,2.0
Complex crisis in Sudan,SDN001,Sudan,SDN,"International Displacement,Conflict/ Violence,Political/economic crisis",Africa,4.7,5,Stable,High,5,5,5.0,4.5,5,4,4.7,4.3,5.0
Climatic shocks and economic vulnerability in Senegal,SEN002,Senegal,SEN,"Floods,Drought/drier conditions,Political/economic crisis",Africa,3,3,Increasing,Medium,3.4,4.5,2.6,3.25,3.5,3,2.2,2.4,2.0
Political and Economic crisis in El Salvador,SLV001,El Salvador,SLV,Political/economic crisis,Americas,2.9,3,Decreasing,High,3.3,3.7,3.1,3.1,3.2,3,2.3,2.1,2.5
Complex crisis in Somalia,SOM001,Somalia,SOM,"Conflict/ Violence,International Displacement,Floods,Drought/drier conditions",Africa,4.3,5,Decreasing,High,4.5,4.8,4.3,4.3,4.6,4,4.3,4.0,4.5
International displacement to Somalia,SOM002,Somalia,SOM,International Displacement,Africa,2.1,3,Increasing,Very High,2.1,1.6,2.3,1.05,1.1,1,3.8,4.0,3.5
Complex crisis in South Sudan,SSD001,South Sudan,SSD,"Conflict/ Violence,Floods,Political/economic crisis",Africa,4.4,5,Decreasing,High,4.6,4.6,4.6,4.45,4.9,4,4.2,3.9,4.5
Displacement from Sudan to South Sudan,SSD004,South Sudan,SSD,International Displacement,Africa,3.6,4,-,High,3.9,4.6,3.5,3.25,3.5,3,4.0,3.9,4.0
Drought in Eswatini,SWZ001,Eswatini,SWZ,Drought/drier conditions,Africa,2.3,3,Increasing,High,2,3.1,1.4,2.55,2.1,3,2.1,2.6,1.5
Complex crisis in Syria,SYR003,Syria,SYR,"Conflict/ Violence,Political/economic crisis,Drought/drier conditions",Middle east,4.5,5,Decreasing,High,4.9,4.6,5.0,4.5,5,4,4.1,4.1,4.0
Complex crisis in Chad,TCD001,Chad,TCD,"Conflict/ Violence,Floods",Africa,4,4,Stable,Very High,4.5,4.9,4.2,3.85,4.7,3,3.9,3.7,4.0
Conflict in Lac province,TCD003,Chad,TCD,Conflict/ Violence,Africa,3.4,4,Decreasing,Very High,2.7,0.6,3.4,3.5,3,4,3.6,3.7,3.5
Displacement from CAR to Chad,TCD004,Chad,TCD,International Displacement,Africa,2.2,3,Increasing,High,2.5,1.8,2.8,1.45,1.9,1,3.2,3.7,2.5
Displacement from Sudan to Chad,TCD005,Chad,TCD,International Displacement,Africa,3.1,4,Decreasing,Very High,2.5,1.7,2.8,3.3,3.6,3,3.2,3.7,2.5
Conflict in Savanes region,TGO002,Togo,TGO,Conflict/ Violence,Africa,2.4,3,Decreasing,High,1.5,0.8,1.8,2.65,2.3,3,2.5,2.5,2.5
Displacement from Myanmar to Thailand,THA003,Thailand,THA,International Displacement,Asia,2.1,3,Decreasing,Very High,1.5,0.5,1.9,2.4,1.8,3,2.0,2.0,2.0
Displacement from Venezuela to Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,International Displacement,Americas,1.4,2,Decreasing,High,2.1,3,1.6,0.85,0.7,1,1.5,1.5,1.5
International displacement to Tunisia,TUN002,Tunisia,TUN,International Displacement,Africa,1.7,2,Stable,Very High,2.3,1.6,2.6,0.95,0.9,1,2.3,2.5,2.0
Displacement from Syria to Türkiye,TUR002,Türkiye,TUR,International Displacement,Middle east,3.5,4,Increasing,Very High,3.1,3.1,3.1,4,5,3,2.9,2.8,3.0
International Displacement to Türkiye,TUR003,Türkiye,TUR,International Displacement,Middle east,2.2,3,Increasing,High,2.4,2.3,2.4,1.9,2.8,1,2.4,2.8,2.0
International Displacement to Tanzania,TZA002,Tanzania,TZA,International Displacement,Africa,2,2,Decreasing,High,2.7,2.4,2.9,1.65,2.3,1,1.8,2.0,1.5
Drought and floods in Tanzania,TZA003,Tanzania,TZA,"Drought/drier conditions,Floods",Africa,2.3,3,Decreasing,High,2.1,1.8,2.2,2.65,2.3,3,2.0,2.0,2.0
International Displacement to Uganda,UGA005,Uganda,UGA,International Displacement,Africa,3.3,4,Stable,High,3.3,1.7,3.9,3.4,3.8,3,3.0,3.7,2.0
Conflict in Ukraine,UKR002,Ukraine,UKR,Conflict/ Violence,Europe,4.3,5,Stable,Very High,4.4,4.9,4.0,4.5,5,4,4.0,2.2,5.0
Political and Economic crisis in Venezuela,VEN001,Venezuela,VEN,"Political/economic crisis,Conflict/ Violence",Americas,3.8,4,Decreasing,High,4.4,4.9,4.0,3.9,4.8,3,3.2,3.3,3.0
Complex crisis in Yemen,YEM001,Yemen,YEM,"Conflict/ Violence,Drought/drier conditions,Political/economic crisis",Middle east,4.6,5,Increasing,Very High,4.8,4.9,4.7,4.5,5,4,4.5,3.9,5.0
International Displacement to Yemen,YEM002,Yemen,YEM,International Displacement,Middle east,2.4,3,Increasing,High,2.5,1.9,2.8,1.55,2.1,1,3.5,3.9,3.0
Drought in Zambia,ZMB002,Zambia,ZMB,Drought/drier conditions,Africa,3.3,4,Increasing,Medium,3.7,4.5,3.2,3.8,4.6,3,2.1,1.7,2.5
Drought and political economic crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,Drought/drier conditions,Africa,3.6,4,Decreasing,High,3.9,4.6,3.5,3.9,4.8,3,2.9,2.8,3.0
Multiple Crises in Burundi,BDI005,Burundi,BDI,"Floods,Political/economic crisis,International Displacement",Africa,3.4,4,-,Very High,3.7,4.1,3.5,3.25,3.5,3,3.3,3.1,3.5
Multiple crises in Bangladesh,BGD001,Bangladesh,BGD,"International Displacement,Floods,Cyclone,Political/economic crisis",Asia,3.4,4,Decreasing,Very High,3.2,3.6,2.9,4,5,3,2.5,2.4,2.5
Multiple crises in Cameroon,CMR001,Cameroon,CMR,"Conflict/ Violence,Floods,International Displacement",Africa,4,4,Stable,High,4,4.1,4.0,4.1,4.2,4,3.8,3.6,4.0
Multiple Crises in Colombia,COL004,Colombia,COL,"Conflict/ Violence,Drought/drier conditions,International Displacement,Floods",Americas,4,4,-,Very High,4.6,5,4.3,4,5,3,3.5,3.0,4.0
Multiple crises in Djibouti,DJI001,Djibouti,DJI,"International Displacement,Drought/drier conditions",Africa,2.7,3,Decreasing,High,2.6,3.1,2.3,2.65,2.3,3,2.7,2.3,3.0
Multiple crises in Algeria,DZA004,Algeria,DZA,International Displacement,Africa,2.5,3,Decreasing,High,3.9,5,3.0,1.85,2.7,1,2.1,2.7,1.5
Multiple crises in Ecuador,ECU001,Ecuador,ECU,"International Displacement,Conflict/ Violence,Floods",Americas,3.5,4,Increasing,High,3.9,4,3.9,3.6,4.2,3,3.0,2.9,3.0
Multiple crises in Ethiopia,ETH001,Ethiopia,ETH,"International Displacement,Conflict/ Violence,Drought/drier conditions,Floods,Political/economic crisis",Africa,4.2,5,Decreasing,High,4.6,5,4.3,4,5,3,4.1,3.6,4.5
Multiple Crises in India,IND001,India,IND,"Conflict/ Violence,Floods",Asia,2.5,3,-,High,3.1,2.9,3.2,1.8,2.6,1,2.9,2.7,3.0
Multiple crises in Kenya,KEN001,Kenya,KEN,"Drought/drier conditions,International Displacement",Africa,3.5,4,Stable,Medium,3.7,3.8,3.6,3.65,4.3,3,3.0,3.5,2.5
Multiple crises in Libya,LBY005,Libya,LBY,International Displacement,Africa,3.2,4,Decreasing,Very High,3.9,4.6,3.5,3.15,3.3,3,2.7,3.3,2.0
Multiple crises in Myanmar,MMR001,Myanmar,MMR,"Conflict/ Violence,Earthquake",Asia,4.6,5,Stable,Very High,4.8,4.9,4.8,4.5,5,4,4.6,4.1,5.0
Multiple Crises in Mozambique,MOZ001,Mozambique,MOZ,"Conflict/ Violence,Cyclone,Drought/drier conditions",Africa,3.6,4,Decreasing,High,3.5,3.7,3.4,3.65,4.3,3,3.6,3.2,4.0
Multiple crises in Mauritania,MRT004,Mauritania,MRT,"Drought/drier conditions,Floods,ine",Africa,2.9,3,-,High,3.1,4.5,2.1,3.15,3.3,3,2.4,2.3,2.5
Multiple crises in Pakistan,PAK008,Pakistan,PAK,"Floods,International Displacement,Political/economic crisis,Conflict/ Violence",Asia,3.8,4,-,High,3.5,3.6,3.5,4,5,3,3.6,3.1,4.0
Multiple crises in the Philippines,PHL001,Philippines,PHL,"Conflict/ Violence,Cyclone,Floods",Asia,2.6,3,-,Very High,3.2,4.6,2.1,2,2,2,2.8,2.5,3.0
Multiple crises in Palestine,PSE002,Palestine,PSE,Conflict/ Violence,Middle east,4.4,5,Stable,High,4.4,3.5,4.7,4.6,4.2,5,4.1,2.5,5.0
Multiple Crises in Türkiye,TUR001,Türkiye,TUR,"International Displacement,Earthquake",Middle east,3.5,4,Stable,High,3.3,3.6,3.2,4,5,3,2.9,2.8,3.0
Multiple Crises in Tanzania,TZA001,Tanzania,TZA,"International Displacement,Drought/drier conditions,Floods",Africa,2.5,3,Stable,High,3.1,3,3.2,2.4,2.8,2,2.0,2.0,2.0
