crisis,crisis_id,country,iso3,drivers,regions,inform_severity_index,inform_severity_category,trend_last_3_months,reliability,impact_of_the_crisis,geographical,human,conditions_of_people_affected,people_in_need,concentration_of_conditions,complexity_of_the_crisis,society_and_safety,operating_environment
Multiple crises in Djibouti,DJI001,Djibouti,DJI,"Displacement,Drought",Africa,2.8,3,Increasing,High,2.8,3.2,2.6,2.75,2.5,3,2.8,2.5,3.0
Multiple crises in Algeria,DZA004,Algeria,DZA,Displacement,Africa,2.8,3,Increasing,High,4.0,5.0,3.2,1.85,2.7,1,3.0,2.9,3.0
Multiple crises in Iraq,IRQ001,Iraq,IRQ,"Violence,Displacement,Socio-political,Conflict",Middle east,3,3,Stable,Very High,4.0,4.7,3.6,1.9,1.8,2,3.4,3.2,3.5
Multiple crisis in Kenya ,KEN001,Kenya,KEN,"Drought,Displacement",Africa,3.5,4,Stable,High,4.2,4.3,4.1,3.5,4,3,2.9,3.3,2.5
Multiple crises in Libya,LBY005,Libya,LBY,"Conflict,Displacement",Africa,3.4,4,-,Very High,4.0,4.6,3.6,3.2,3.4,3,3.2,3.3,3.0
Multiple crisis in Mexico,MEX001,Mexico,MEX,"Violence,Displacement",Americas,3.1,4,Stable,High,4.2,5.0,3.6,2.15,3.3,1,3.3,3.0,3.5
Multiple crises in Myanmar,MMR001,Myanmar,MMR,"Socio-political,Conflict,Violence",Asia,4.6,5,Stable,Very High,4.8,4.9,4.8,4.5,5,4,4.6,4.1,5.0
Multiple Crises in Mozambique,MOZ001,Mozambique,MOZ,"Conflict,Displacement,Cyclone,Drought",Africa,3.8,4,Decreasing,High,4.4,5.0,4.0,3.8,4.6,3,3.4,3.3,3.5
Multiple crises in Malaysia,MYS002,Malaysia,MYS,"Displacement,Floods",Asia,2.1,3,-,Very High,2.3,2.6,2.2,1.6,2.2,1,2.8,1.9,3.5
Multiple crises in the Philippines,PHL001,Philippines,PHL,"Conflict,Cyclone,Violence,Floods,Other seasonal event",Asia,2.9,3,Increasing,Very High,3.1,4.3,2.3,3.05,4.1,2,2.6,2.7,2.5
Conflict in Palestine,PSE002,Palestine,PSE,"Conflict,Socio-political,Violence,Displacement",Middle east,4.4,5,Increasing,Very High,4.3,3.5,4.6,4.6,4.2,5,4.1,2.5,5.0
Multiple situations in Thailand,THA001,Thailand,THA,"Conflict,Displacement,Floods",Asia,2.5,3,Stable,Very High,3.0,3.7,2.6,1.7,2.4,1,3.3,2.5,4.0
Complex situation in Türkiye,TUR001,Türkiye,TUR,"Displacement,Conflict",Middle east,3.5,4,Stable,Very High,3.4,3.7,3.3,3.75,4.5,3,3.2,2.8,3.5
Multiple Crises in Tanzania,TZA001,Tanzania,TZA,"Displacement,Drought",Africa,2.5,3,Stable,High,3.1,3.2,3.0,2.5,3,2,2.0,1.9,2.0
